rank,name,level,win
242,kukukukuku,219,198
243,qseawd,530,122
244,강하다 별,414,284
245,whisper snow,573,365
246,Honp1,68,133
247,Neth3rworld,260,93
248,fvck yu,53,105
249,사막여우겨울나기,76,336
250,adc on1y,175,251
251,Pungyeonn,60,158
252,PKMNtrainerRed,78,184
253,호잇이,692,180
254,광연4,222,151
255,율자주세요,431,84
256,듀오강의코코팀,86,209
257,폼 팡,721,161
258,FPX q2380023067e,103,209
259,Look to Sky,279,115
260,1달안에챌린저,61,94
261,xiao cai niao,109,227
262,E dal,602,315
263,E T E R N U M l,94,137
264,aaaaaaaaaaaq,54,159
265,노정택,46,102
266,not worth it,423,160
267,PowderSn0w,361,142
268,파 고,351,214
269,DK ShowMaker,386,101
270,트위치김수당,593,174
271,뉘셰핑,57,166
272,Recall99,159,109
273,어떡해 1997,256,272
274,조이현내누나,126,92
275,무조건이겨야함,189,123
276,NEED HER,641,188
277,Hide on bush,549,185
278,Lumen AD,436,89
279,김잡초,138,218
280,Aileri,119,159
281,직스 좀 믿어줘,446,87
282,nnmyj,66,258
283,su yi ming,74,313
284,노력 끈기 집중,94,492
285,mpljlrpajkkl,145,133
286,트루 러버,508,154
287,Lehends,483,164
288,옥모화안,124,287
289,Wilder,721,418
290,Yuukika,48,102
291,08탑프로지망,613,165
292,NekoL,367,138
293,Heimskaut refur,54,173
294,땅에 묻히다,102,118
295,지훈백크,165,237
296,T1 Poby,83,273
297,청포도육포,122,181
298,펭귄빙산추락,239,182
299,HLE Cracker,196,139
300,oilf3,219,301
301,HLE OnFleek,564,159
302,climber climber,238,249
303,tianqileng,68,64
304,사랑하지 않아,165,76
305,FPX q2380023067g,57,162
306,zcxadfst,46,118
307,엉덩국 갱승제로,344,250
308,Bearduck,325,106
309,더블큐티준서버거,186,147
310,초보원딜러,215,122
311,NS HH,361,358
312,Zrs,277,94
313,그냥 죽여놓을게,420,85
314,몹시 언짢음,94,176
315,메로나마싯다,49,117
316,xiaoohao,322,127
317,Nierland,48,116
318,Map1eStory275Lv,70,297
319,natsunoomoide,469,204
320,부커1,205,133
321,11baby,342,140
322,T1 Smash1,220,141
323,hao yun lai 7,60,217
324,TTAsusu,54,94
325,박 구 원,95,212
326,꿀단지3,49,144
327,XiaoHuaSheng7,514,119
328,DRX 홍창현,829,198
329,yyzx,393,193
330,rainyday1111,57,206
331,헤이스트,741,242
332,쌍쌍바 반띵하자,58,194
333,KT VicLa,310,212
334,Iove poppy,131,210
335,소년가장 원딜,171,184
336,duckling,67,280
337,은아 예쁘다,424,253
338,61110002,224,214
339,짱구철수훈이유리,133,218
340,kamaru,54,73
341,꿀잼사과잼,266,109
342,gnaixnay,161,125
343,eehh,79,388
344,if lose jug gap,69,186
345,KDF Moham,319,144
346,Gon123,363,335
347,Hegforelly,139,179
348,Refrainment,64,82
349,nyxxynxyn,638,262
350,HLE Bola,194,163
351,I want 1000lp,47,116
352,평정심을 잃지마,175,121
353,베란다고양이,567,175
354,asdada,52,173
355,Yagao12,57,188
